country,latitude,longitude
Egypt,30.15305556,24.71333333
Egypt,29.23,25.00694444
Egypt,22.00055556,25.01611111
Egypt,22.00277778,36.90527778
Egypt,22.69027778,35.97083333
Egypt,23.94611111,35.50055556
Egypt,23.89194444,35.775
Egypt,29.56305556,32.34083333
Egypt,29.98805556,32.56388889
Egypt,29.28777778,32.855
Egypt,28.98666667,33.17833333
Egypt,28.65972222,33.18694444
Egypt,27.73416667,34.23027778
Egypt,29.49083333,34.90333333
Egypt,31.31972222,34.21666667
Egypt,31.12,33.4925
Egypt,31.22,33.11555556
Egypt,31.05388889,32.71222222
Egypt,31.06888889,32.55416667
Egypt,31.37388889,32.05194444
Egypt,31.52861111,31.92138889
Egypt,31.52888889,31.86222222
Egypt,31.44527778,31.56055556
Egypt,31.60166667,31.07722222
Egypt,30.81444444,29.10861111
Egypt,31.11055556,27.92305556
Egypt,31.235,27.86527778
Egypt,31.20333333,27.57111111
Egypt,31.35916667,27.35444444
Egypt,31.62666667,25.89388889
Egypt,31.50277778,25.325
Egypt,31.62388889,25.15055556
Ethiopia,14.26416667,36.55277778
Ethiopia,12.68277778,36.13916667
Ethiopia,12.62805556,35.68638889
Ethiopia,11.725,35.03972222
Ethiopia,10.69277778,34.82416667
Ethiopia,10.87444444,34.60805556
Ethiopia,9.4725,34.09666667
Ethiopia,8.54277778,34.09194444
Ethiopia,8.38361111,33.18027778
Ethiopia,8.1275,33.16305556
Ethiopia,7.86805556,33.00555556
Ethiopia,7.49194444,33.90527778
Ethiopia,6.45666667,34.98888889
Ethiopia,5.89361111,34.99944444
Ethiopia,5.28916667,35.33916667
Ethiopia,5.29555556,35.85444444
Ethiopia,4.44333333,35.95833333
Ethiopia,4.37333333,36.96722222
Ethiopia,3.59888889,38.13416667
Ethiopia,3.41638889,39.54916667
Ethiopia,3.85916667,39.86444444
Ethiopia,4.26472222,40.76972222
Ethiopia,5.9525,41.16361111
Ethiopia,3.94333333,41.86833333
Ethiopia,4.17527778,42.07888889
Ethiopia,4.3125,42.88666667
Ethiopia,4.57472222,43.04583333
Ethiopia,4.93277778,43.95333333
Ethiopia,4.90361111,44.93222222
Ethiopia,7.98,47.98722222
Ethiopia,7.98305556,47.04583333
Ethiopia,8.99666667,44.00527778
Ethiopia,10.58722222,42.67527778
Ethiopia,10.98583333,42.9825
Ethiopia,10.99222222,41.78472222
Ethiopia,11.50361111,41.76722222
Ethiopia,12.46305556,42.40388889
Ethiopia,13.37722222,41.63861111
Ethiopia,13.61388889,41.23861111
Ethiopia,14.1075,40.89472222
Ethiopia,14.395,40.22888889
Ethiopia,14.40138889,38.48833333
Ethiopia,14.88805556,37.91888889
Ethiopia,14.17833333,37.51361111
Ethiopia,14.26416667,36.55277778
Gabon,2.27416667,11.37027778
Gabon,1.00194444,11.32472222
Gabon,0.99611111,9.57166667
Gabon,0.49972222,9.59583333
Gabon,0.64472222,9.49916667
Gabon,0.58416667,9.31777778
Gabon,0.34416667,9.35861111
Gabon,0.18361111,9.92
Gabon,0.12333333,9.60833333
Gabon,-0.29111111,9.29722222
Gabon,-0.49888889,9.23
Gabon,-0.65055556,9.10083333
Gabon,-0.72361111,8.94361111
Gabon,-0.63388889,8.70777778
Gabon,-2.69,9.89138889
Gabon,-3.95555556,11.16305556
Gabon,-3.50111111,11.48222222
Gabon,-3.31111111,11.95361111
Gabon,-3.15,11.66194444
Gabon,-3.06472222,11.79722222
Gabon,-2.99916667,11.68333333
Gabon,-2.37527778,11.52527778
Gabon,-2.41888889,12.51416667
Gabon,-1.87416667,12.44722222
Gabon,-1.94305556,12.84194444
Gabon,-2.33361111,13.0225
Gabon,-2.44,13.47333333
Gabon,-2.12,13.76083333
Gabon,-2.48027778,13.86916667
Gabon,-2.49444444,14.10861111
Gabon,-0.66222222,14.53027778
Gabon,-0.18416667,13.82805556
Gabon,0.55722222,14.12722222
Gabon,0.54416667,14.28444444
Gabon,0.92833333,14.4975
Gabon,1.35805556,14.23944444
Gabon,1.43166667,13.8075
Gabon,1.25694444,13.50833333
Gabon,1.28833333,13.42833333
Gabon,1.215,13.305
Gabon,1.22166667,13.16333333
Gabon,1.31972222,13.26194444
Gabon,1.55388889,13.13361111
Gabon,2.16805556,13.29583333
Gabon,2.16333333,14.30666667
Gabon,1.90055556,15.35416667
Gabon,1.98194444,15.485
Gabon,1.75833333,16.02944444
Gabon,1.65388889,16.03083333
Gabon,1.68194444,16.13805556
Gabon,1.9675,16.04666667
Gabon,2.19527778,16.08333333
Gabon,2.27416667,11.37027778
Ghana,10.99333333,-2.83
Ghana,10.65444444,-2.92694444
Ghana,9.4625,-2.69722222
Ghana,8.19833333,-2.49305556
Ghana,7.92583333,-2.77611111
Ghana,7.58305556,-2.92888889
Ghana,7.2175,-2.96222222
Ghana,6.72361111,-3.23
Ghana,5.61527778,-2.95027778
Ghana,5.60388889,-2.76027778
Ghana,5.14083333,-2.73277778
Ghana,5.08027778,-3.11277778
Ghana,4.89083333,-2.26666667
Ghana,4.73444444,-2.08888889
Ghana,5.77666667,0.34194444
Ghana,5.81222222,0.95916667
Ghana,6.09805556,1.2125
Ghana,6.84194444,0.52944444
Ghana,8.24472222,0.6325
Ghana,11.0825,-0.01555556
Ghana,11.15777778,-0.27194444
Ghana,10.90388889,-0.61472222
Ghana,10.97305556,-0.69944444
Ghana,10.99333333,-2.83
Guinea,12.66333333,-13.69916667
Guinea,12.24722222,-13.71694444
Guinea,12.19472222,-13.95444444
Guinea,11.99777778,-13.69944444
Guinea,11.69138889,-13.70777778
Guinea,11.46361111,-14.69722222
Guinea,10.87027778,-15.07138889
Guinea,9.7075,-13.62138889
Guinea,9.0275,-13.31166667
Guinea,9.07722222,-13.02833333
Guinea,9.84722222,-12.47805556
Guinea,9.98444444,-11.21861111
Guinea,8.64138889,-10.47916667
Guinea,8.26472222,-10.70305556
Guinea,8.48083333,-10.27222222
Guinea,8.335,-9.48
Guinea,7.40777778,-9.42694444
Guinea,7.19222222,-9.10138889
Guinea,7.2675,-8.83972222
Guinea,7.685,-8.67472222
Guinea,7.6975,-8.55305556
Guinea,7.55166667,-8.48
Guinea,7.53361111,-8.20833333
Guinea,8.08944444,-8.00611111
Guinea,8.22888889,-8.25138889
Guinea,8.49611111,-8.18694444
Guinea,8.37277778,-7.63944444
Guinea,8.70055556,-7.75333333
Guinea,8.82305556,-7.96972222
Guinea,9.02,-7.90111111
Guinea,9.07444444,-7.72611111
Guinea,9.205,-7.92138889
Guinea,9.42,-7.84805556
Guinea,9.39916667,-8.02277778
Guinea,9.52388889,-8.13444444
Guinea,10.04888889,-8.11777778
Guinea,10.09444444,-8.01916667
Guinea,10.24611111,-7.945
Guinea,10.47111111,-8.24777778
Guinea,11.02083333,-8.31694444
Guinea,10.94722222,-8.67027778
Guinea,11.32583333,-8.37222222
Guinea,11.65111111,-8.84972222
Guinea,12.42444444,-9.0425
Guinea,12.18194444,-11.495
Guinea,12.39361111,-11.37194444
Guinea,12.66333333,-13.69916667
Ivory Coast,4.35305556,-7.52194444
Ivory Coast,5.33194444,-7.375
Ivory Coast,5.81805556,-7.43777778
Ivory Coast,6.49722222,-8.60555556
Ivory Coast,6.99472222,-8.28777778
Ivory Coast,7.54777778,-8.48166667
Ivory Coast,7.5375,-8.20805556
Ivory Coast,8.02277778,-7.94861111
Ivory Coast,8.22166667,-8.2475
Ivory Coast,8.49611111,-8.18527778
Ivory Coast,8.37333333,-7.64277778
Ivory Coast,8.81361111,-7.97305556
Ivory Coast,9.40722222,-7.85388889
Ivory Coast,9.3975,-8.03694444
Ivory Coast,9.53472222,-8.14194444
Ivory Coast,10.01805556,-8.13555556
Ivory Coast,10.43861111,-7.63694444
Ivory Coast,10.44027778,-7.44361111
Ivory Coast,10.25083333,-7.3825
Ivory Coast,10.21055556,-6.97888889
Ivory Coast,10.35805556,-6.64972222
Ivory Coast,10.66972222,-6.63583333
Ivory Coast,10.71777778,-6.21305556
Ivory Coast,10.26111111,-6.21388889
Ivory Coast,10.195,-5.98861111
Ivory Coast,10.42222222,-5.79166667
Ivory Coast,10.43222222,-5.5175
Ivory Coast,10.29111111,-5.38694444
Ivory Coast,10.30361111,-5.10916667
Ivory Coast,9.59444444,-4.31777778
Ivory Coast,9.75555556,-4.26166667
Ivory Coast,9.84527778,-3.27416667
Ivory Coast,9.41222222,-2.76555556
Ivory Coast,9.48666667,-2.68916667
Ivory Coast,9.03166667,-2.76416667
Ivory Coast,9.01111111,-2.66416667
Ivory Coast,8.19805556,-2.49472222
Ivory Coast,6.61222222,-3.25805556
Ivory Coast,5.69805556,-3.02638889
Ivory Coast,5.59555556,-2.76638889
Ivory Coast,5.105,-2.75555556
Ivory Coast,5.08805556,-3.11138889
Ivory Coast,5.24,-3.99666667
Ivory Coast,5.03138889,-5.86138889
Ivory Coast,4.35305556,-7.52194444
Liberia,6.92861111,-11.47833333
Liberia,7.76361111,-10.60888889
Liberia,8.03,-10.60861111
Liberia,8.15666667,-10.4575
Liberia,8.14972222,-10.35138889
Liberia,8.48361111,-10.27527778
Liberia,8.53861111,-9.76222222
Liberia,8.34138889,-9.48333333
Liberia,8.31055556,-9.51805556
Liberia,7.61638889,-9.36277778
Liberia,7.36888889,-9.47972222
Liberia,7.38166667,-9.20888889
Liberia,7.19083333,-9.10611111
Liberia,7.27472222,-8.8375
Liberia,7.50416667,-8.71
Liberia,7.69111111,-8.67555556
Liberia,7.69694444,-8.55194444
Liberia,7.62666667,-8.5675
Liberia,7.52833333,-8.42222222
Liberia,7.24444444,-8.36805556
Liberia,7.18305556,-8.28194444
Liberia,6.82222222,-8.32861111
Liberia,6.5,-8.60055556
Liberia,6.81111111,-7.48111111
Liberia,5.25833333,-7.42805556
Liberia,4.77944444,-7.56583333
Liberia,4.35638889,-7.53027778
Liberia,4.74416667,-8.55583333
Liberia,5.86611111,-10.05583333
Liberia,5.86638889,-10.05583333
Liberia,6.08611111,-10.3125
Liberia,6.23416667,-10.69694444
Liberia,6.38416667,-10.80055556
Liberia,6.69972222,-11.36
Liberia,6.81166667,-11.38027778
Liberia,6.92861111,-11.47833333
Libya,33.15416667,11.55722222
Libya,32.43333333,11.575
Libya,31.47027778,10.12527778
Libya,30.8975,10.28388889
Libya,30.34416667,9.89277778
Libya,30.17083333,9.40777778
Libya,28.32,9.83361111
Libya,28.51833333,9.86916667
Libya,26.1875,9.42277778
Libya,25.33527778,10.02194444
Libya,24.86444444,10.04833333
Libya,24.18388889,11.43472222
Libya,24.23166667,11.57472222
Libya,23.485,11.99027778
Libya,23.16361111,13.54444444
Libya,22.64833333,14.17944444
Libya,23.44083333,15.99333333
Libya,19.50722222,23.99805556
Libya,19.99638889,24.00972222
Libya,19.99527778,24.98972222
Libya,29.24472222,25.00805556
Libya,30.16777778,24.70694444
Libya,30.78888889,25.00555556
Libya,31.41527778,24.87722222
Libya,31.65194444,25.13694444
Libya,31.93055556,25.03972222
Libya,32.31638889,23.11611111
Libya,32.62944444,23.11916667
Libya,32.88027778,22.18472222
Libya,32.92222222,21.64305556
Libya,31.97472222,19.94055556
Libya,31.60833333,19.95861111
Libya,31.205,20.1575
Libya,30.6025,19.84305556
Libya,30.26694444,19.20666667
Libya,30.39527778,18.67722222
Libya,30.98833333,17.58111111
Libya,31.43527778,15.68194444
Libya,31.98111111,15.36166667
Libya,32.35861111,15.24722222
Libya,32.79305556,13.74916667
Libya,32.90888889,13.27916667
Libya,32.79972222,12.66444444
Libya,32.83805556,12.30638889
Libya,33.15416667,11.55722222
Morocco,33.30916667,-8.54444444
Morocco,31.37416667,-9.88916667
Morocco,30.53222222,-9.86305556
Morocco,28.98472222,-10.40222222
Morocco,27.93305556,-12.82388889
Morocco,27.56666667,-13.17527778
Morocco,27.59138889,-8.68638889
Morocco,28.45833333,-8.60805556
Morocco,29.39416667,-7.05333333
Morocco,29.39194444,-5.47916667
Morocco,30.67277778,-3.58944444
Morocco,31.58416667,-3.57527778
Morocco,31.7175,-2.75638889
Morocco,32.04,-2.87305556
Morocco,31.9925,-1.12194444
Morocco,32.485,-1.00777778
Morocco,35.02972222,-2.18111111
Morocco,35.18083333,-4.74833333
Morocco,35.81722222,-5.27611111
Morocco,35.72305556,-5.89916667
